id,course_code,course_name,discipline,slot,instructor,room
1,CS250,Operating Systems,CSE,C12,Dr. Dhiman Saha,L101
2,CS251,Introduction to Language Processing,CSE,D23,Dr. Vishwesh Jatala,L101
3,CS252,Algorithms II,CSE,E12,Dr. I. Vinod Kumar Reddy,L101
4,CS253,Theory of Computation II,CSE,C3,Dr. Barun Gorain,L102
5,CS254,Database Management Systems,CSE,A23,Dr. Souradyuti Paul,L206
6,CS300,Principles of Programming Languages,CSE,F,Dr. Amit Kumar Dhar,L105
7,CS499,Thesis (For BTech Honours),CSE,NA,DUGC_CSE,NA
8,CS559,Computer System Design,CSE,A,Dr. Gaganraj Gupta,L102
9,CS502,Graph theory and applications,CSE,A,Dr. I. Vinod Kumar Reddy,L205
10,CS599,Thesis (For MTech),CSE,NA,DUGC_CSE,NA
11,CS795,PhD Candidacy,CSE,NA,DUGC_CSE,NA
12,CS799,Thesis (For PhD),CSE,NA,DUGC_CSE,NA
13,CST895,PhD Candidacy,CSE,NA,DPGC_CSE,NA
14,CST899,Thesis (For PhD students admitted in 2023-24-M Semester),CSE,NA,DPGC_CSE,NA
15,TPL607/CS516,Parallelization of Programs,CSE,C,Dr. Vishwesh Jatala,ED1 203/204
16,TPL608/CS552,Network Science,CSE,E,Dr. Rishi Ranjan Singh,L103
17,TPL609/CS554,Block Chain Technologies,CSE,M,Dr. Souradyuti Paul,ED1 203/204
18,TPL610/CS607,Adversarial Machine Learning: Security and Privacy of ML,CSE,D,Dr. Sk Subidh Ali,ED1 207/208
19,TPL611/CS621,Quantum Computing and Reversible Logic Design,CSE,B,Dr. Dhiman Saha,L101
20,TPL612/CS620,Mobile and Wireless Networks,CSE,L,Dr. Anand M. Baswade,L103
21,TPL639/TP639,lower bound and Impossibilities,CSE,E,Dr. Barun Gorain,ED1 207/208
22,CY506,Inorganic Chemistry Practical,CY,U23,"Dr. Arup Mukherjee , Dr. Raghavender Medishetty,
Dr. Mayilmurugan (IC)",NA
23,CY699,Thesis (For MSc),CY,NA,DPGC_CY,NA
24,CY795,PhD Candidacy,CY,NA,DPGC_CY,NA
25,CY799,Thesis (For PhD),CY,NA,DPGC_CY,NA
26,CYL505,Organic Reactions and Reagents,CY,D,Dr. Sanjib Banerjee,SD1 110/111
27,CYP102,Chemistry lab,CY,"O,W,Q,S,U","Dr. Katchala Nanaji, Dr. Hemanta Kumar Kisan, Dr.
Suchetan Pal(IC)",NA
28,CYP502,Organic and Inorganic Laboratory,CY,"U,S","Dr. Sanjib Banerjee, Dr. Ganapathy D (IC), Dr. Hemanta Kumar Kisan, Dr. Arup Mukherjee, Dr.
Raghavender Medishetty, Dr. Mayilmurugan",NA
29,CYT895,PhD Candidacy,CY,NA,DPGC_CY,NA
30,CYT899,Thesis (For PhD students admitted in 2023-24-M Semester),CY,NA,DPGC_CY,NA
31,IC250,Materials Chemistry II,CY,I3,Dr. Arup Mukhurjee,L209
32,IC251,Basics of Bioinformatics,CY,"I12, H1 (TUT)",Dr. Rukmankesh,"L209, (TUT-L207, L208, L203, L204"
33,TPL613,Physical Organic Chemistry,CY,C,Dr. Hemanta Kumar Kisan,SD1 110/111
34,TPL614,Chemistry of Main Group Elements,CY,G,Dr. Arup Mukherjee,L207
35,TPL615/CY624,Chemistry of Heterocyclic Compounds and Natural Products,CY,D,Dr. Ganapathy D,SD1 208/209
36,TPL616,Organic Photochemistry and Pericyclic reactions,CY,E,Dr. Raghavender Medishetty,L206
37,TPL617/TP617,Solar Energy Harvesting Materials,CY/MSME,F,Dr. Satyajit Gupta,L202
38,CS550,Machine Learning,DSAI,B,Dr. Rajesh Kumar Mundotiya,L105
39,DS200,Architecture for Management of Large Datasets,DSAI,E,Dr. Subhajit Sidhanta,L205
40,DS201,Statistical Programming,DSAI,D23,Dr. Anil Kumar Sao,ED1 212/213
41,DS251,Artificial Intelligence,DSAI,A,Dr. Soumajit Pramanik,L204
42,DS252,Big Data Lab,DSAI,D1,Dr. Subhajit Sidhanta,L101
43,DS499,Thesis (For BTech Honours),DSAI,NA,DUGC_CSE,NA
44,DS510,AI/ML Lab,DSAI,P12 O12,Dr. Soumajit Pramanik,L206
45,DS599,Thesis (For MTech),DSAI,NA,DPGC_CSE,NA
46,DS795,PhD Candidacy,DSAI,NA,DPGC_CSE,NA
47,DS799,Thesis (For PhD),DSAI,NA,DPGC_CSE,NA
48,DST895,PhD Candidacy,DSAI,NA,DPGC_CSE,NA
49,DST899,Thesis (For PhD students admitted in 2023-24-M Semester),DSAI,NA,DPGC_CSE,NA
50,ECL101,Basic Electronics Engineering,EC,"B, (O,W,Q,S,U - LAB)","Dr. Arzad Alam Kherani, Dr. Sreejith T. V, Dr. Anjali
Choudhary",L209
51,ECT799,Thesis (For MTech students admitted in 2023-24-M semester),EC,NA,DPGC_EC,NA
52,ECT895,PhD Candidacy,EC,NA,DPGC_EC,NA
53,ECT899,Thesis (For PhD students admitted in 2023-24-M Semester),EC,NA,DPGC_EC,NA
54,TPL619/EE522,Machine Learning Applications for Wireless Communications,EC,F,Dr. Arzad Alam Kherani,ED1 201/202
55,TPL620/TP620,Wireless Communication Security with SDRs,EC,A,Dr. Arzad Alam Kherani,L207
56,EE204,Analog Circuits,EE,B,Dr. Nikhil Chander,L102
57,EE205,Power Engineering - I,EE,F,Dr. Shashank Kurm,L102
58,EE208,Electrical Machines,EE,D23,Dr. Arzad Alam Kherani,L105
59,EE251,Control systems Lab,EE,V23,Dr. Arzad Alam Kherani,NA
60,EE352,Communication Lab,EE,V23,Dr. Sreejith T. V,NA
61,EE353,Devices and Circuits lab,EE,R23,Dr. Nikhil Chander,NR
62,EE371,Independent Project,EE,NA,Dr. Avishek Adhikary,NA
63,EE499,Thesis (For BTech Honours),EE,NA,DUGC_EE,NA
64,EE599,Thesis (For MTech),EE,NA,DPGC_EE,NA
65,EE795,PhD Candidacy,EE,NA,DPGC_EE,NA
66,EE799,Thesis (For PhD),EE,NA,DPGC_EE,NA
67,EEL101,Basic Electrical Engineering,EE,E (O W Q S M Lab),"Dr. Nitin Khanna
Dr. Shailendra Kumar Dr. Shashank Kurm",L209
68,EEP522,Power Electronics Lab,EE,O,Dr. Shashank Kurm,NA
69,EEP523,Power System Lab,EE,U,"Dr. Shailendra Kumar
Dr. Shashank Kurm",NA
70,EET799,Thesis (For MTech students admitted in 2023-24-M semester),EE,NA,DPGC_EE,NA
71,EET895,PhD Candidacy,EE,NA,DPGC_EE,NA
72,EET899,Thesis (For PhD students admitted in 2023-24-M Semester),EE,NA,DPGC_EE,NA
73,EVL503/EE575,Motor Drives for EV,EE,F,Dr.Shashank Kurm/Dr. Sachin Jain,ED1 207/208
74,TPL621/EE604,Signal Processing Algorithms to DSP Architectures,EE/EC,G,Dr. Sreejith T. V,ED1 201/202
75,EEL622/EE574,Power Quality,EE/EV,C,Dr. Shailendra Kumar,L103
76,EEL602/EE572,Advance Sensing Technique,EE/MT,D,Dr. Avishek Adhikary,ED1 201/202
77,EEL603/EE573,Optimal Control,EE/MT,H,Dr. Avishek Adhikary,L101
78,EV599,Thesis (For MTech),EV,NA,DPGC_EV,NA
79,EV795,PhD Candidacy,EV,NA,DPGC_EV,NA
80,EV799,Thesis (For PhD),EV,NA,DPGC_EV,NA
81,EVT895,PhD Candidacy,EE,NA,DPGC_EV,NA
82,EVT899,Thesis (For PhD students admitted in 2023-24-M Semester),EV,NA,DPGC_EV,NA
83,EVL600/EV639,Battery Chemistry- Components and Manufacturing,EV/CY,I,Dr. Katchala Nanaji,L102
84,CA250/LAN103,Professional Ethics,LA,G1,Dr. Anindita Ghosh (Dr Rajkumar Eslavath - Tutor),L209
85,LA303,Chinese Beginner 1,LA,K1,Ms. Hao Yu Lu,SD1 110/111
86,LA305,City in Literature,LA,K12,Dr. Anubhav Pradhan,L101
87,LA312,Chinese Beginner 4,LA,G2,Ms. Hao Yu Lu,SD1 110/111
88,LA315,Chinese Beginner 2,LA,K1,Ms. Hao Yu Lu,SD1 208/209
89,LA327,Introduction to Partition Literature,LA,K2,Dr. Sruthi Vinayan,SD1 110/111
90,LA346,Microeconomics,LA,J3,Dr. Rekha Ravindran,L103
91,LA349,Contemporary Indian Cinema: Beyond Bollywood,LA,J1,Dr. Sonal Jha,L102
92,LA351,Elements of World Literature,LA,J2,Dr. Sruthi Vinayan,L101
93,LA354,Introduction to Postcolonial Literature,LA,K3,Dr. Sonal Jha,SD1 208/209
94,LA356,Chinese Basic 5,LA,G3,Ms. Hao Yu Lu,SD1 110/111
95,LA357,Chinese Basic 6,LA,G3,Ms. Hao Yu Lu,SD1 208/209
96,LA365,Applied Positive Psychology,LA,K3,Dr. Anindita Ghosh,L209
97,LA795,PhD Candidacy,LA,NA,DPGC_LA,NA
98,LA799,Thesis (For PhD),LA,NA,DPGC_LA,NA
99,TP624,Introduction to  Understanding Psychological Disorders,LA,J23,Dr. Rajkumar Eslavath,L209
100,TPL622,Culture and the Study of Human Strengths,LA,C,Dr. Rajkumar Eslavath,L205
101,TPL623,Advanced Positive Psychology,LA,B,Dr. Anindita Ghosh,L205
102,TPL625,Allied Health Studies,LA,F,Dr. Rajkumar Eslavath,L205
103,TPL626,Statistical Analysis,LA,E,Dr. Rajkumar Eslavath,L105
104,MA699,Thesis (For MSc),MA,NA,DPGC MA,NA
105,MA795,PhD Candidacy,MA,NA,DPGC MA,NA
106,MA799,Thesis (For PhD),MA,NA,DPGC MA,NA
107,MAT895,PhD Candidacy,MA,NA,DPGC_MA,NA
108,MAT899,Thesis (For PhD students admitted in 2023-24-M Semester),MA,NA,DPGC MA,NA
109,MAL101/IC104/IC152,Mathematics-II,MA,"C, H2 TUT",Dr. Pawan Kumar Mishra,L209
110,MAL405/MA504,Differential Equations,MA,"M, H3 TUT",Dr. Raj Kumar Mistri,L207
111,MAL406,Numerical Analysis,MA,"K, H1 TUT","Dr. Avijit Pal, Dr. Kuldeep Kumar Kataria","L207, (ED1 203/204)"
112,MAL500/MA508,Topology,MA,L,Dr. Anurag Singh,L104
113,MAL501,Complex Analysis,MA,I,Dr. Lakshmi Kanta Patra,L203
114,MAL502,Functional Analysis,MA,"F, E1 TUT",Dr. Arnab Patra,L208
115,MAL511/MA614,Additive Number Theory,MA,G,Dr. Raj Kumar Mistri,L103
116,TPL627/MA509,Statistical Inference,MA,B,Dr. Lakshmi Kanta Patra,L104
117,TPL628/MA611,Stochastic Processes,MA,D,Dr. Kuldeep Kumar Kataria,L208
118,ME213,Heat and Mass Transfer,ME,D,Dr. Pravesh Chandra Shukla,ED1 203/204
119,ME232,Dynamics,ME,A,Dr. Ganesh Kolappan Geetha,L201
120,ME334,Design of Machine Elements,ME,B,Dr. Anshul faye,L203
121,ME352,Manufacturing Science II,ME,E,Dr. Purnendu das,L204
122,ME372,Mechanical Engineering Lab II,ME,U,"Dr. Purnendu das, Dr. Vijay Shantaram Duryodhan",NA
123,ME413,Refrigeration and Air-Conditioning,ME,M,Dr. Udayraj,L103
124,ME499,Thesis (For BTech Honours),ME,NA,DUGC_ME,NA
125,ME599,Thesis (For MTech),ME,NA,DUGC_ME,NA
126,ME795,PhD Candidacy,ME,NA,DUGC_ME,NA
127,ME799,Thesis (For PhD),ME,NA,DUGC_ME,NA
128,MEL613/ME513,Convective Heat Transfer,ME,G,Dr. Balkrishna Mehta,L101
129,MEL633/ME633,Finite Element Method,ME,"L12, L3 TUT",Dr. Anshul faye,L101
130,MEL655/ME652,Automation in Production Systems,ME,A,Dr. Soumya Gangopadhyay,L202
131,MEP102/IC101,Digital fabrication,ME,"F1, F2 - TUT ,O,W,Q,S,U
-LAB","Dr. Purnendu Das, Dr. Kaushik Bandhopadhyay",L209
132,MET895,PhD Candidacy,ME,NA,DPGC_ME,NA
133,MET899,Thesis (For PhD students admitted in 2023-24-M Semester),ME,NA,DPGC_ME,NA
134,TPL629/ME515,Engine management system and Alternative Fuels,ME,E,Dr. Pravesh Chandra Shukla,L207
135,TPL630/ME637,Wave Propagation in Structures,ME,J,Dr. Ganesh Kolappan Geetha,L206
136,TPL633/ME653,Experimental Methods in Fluids and Thermal Science,ME,I,Dr. Vijay Shantaram Duryodhan,L204
137,TPL632/ME615,Computational Fluid Dynamics,ME/EV,L,Dr. Nagesh Debidas Patil,L204
138,MEL651/ME560,Additive Manufacturing,ME/MSME,B,Dr. Rahul Jain,L204
139,TPL634,Mechanical Behaviour and testing of materials,ME/MSME,D,Dr. Jose Immanuel R,L103
140,TPL635/ME557,Laser Materials Processing,ME/MSME,E,Dr. Kaushik Bandhopadhyay,L102
141,MML554,Computational Methods in Materials Science,MSME,C,Dr. Md Mehboob Alam,L203
142,MMP501,Material Characterization Laboratory,MSME,W,"Dr. Raghavender Medishetty, Dr. Sanjib Banerjee, Dr.
Purnendu Das",NA
143,MMP553,Material Fabrication Laboratory,MSME,Q,"Dr. Raghavender Medishetty, Dr. Sanjib Banerjee, Dr.
Purnendu Das",NA
144,MMT799,Thesis (For MTech students admitted in 2023-24-M semester),MSME,NA,DPGC_MSME,NA
145,MMT895,PhD Candidacy,MSME,NA,DPGC_MSME,NA
146,MMT899,Thesis (For PhD students admitted in 2023-24-M Semester),MSME,NA,DPGC_MSME,NA
147,MT251,Embedded System for Mechanical Controls,MT,B,Prof. Santosh Biswas,L207
148,MT252,Fundamental of Robotics,MT,D,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das",L202
149,MT253,Hydraulics and Pneumatics Systems,MT,F,Dr. Jose Immanuel R,L207
150,MT599,Thesis (For MTech),MT,NA,DPGC_MT,NA
151,MT795,PhD Candidacy,MT,NA,DPGC_MT,NA
152,MT799,Thesis (For PhD),MT,NA,DPGC_MT,NA
153,MTL602/MT551,Design and Analysis of Robotic System,MT,D,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das",L204
154,MTL655,Automation in Production Systems,MT,A,Dr. Soumya Gangopadhyay,L103
155,MTT799,Thesis (For MTech students admitted in 2023-24-M semester),MT,NA,DPGC_MT,NA
156,MTT895,PhD Candidacy,MT,NA,DPGC_MT,NA
157,MTT899,Thesis (For PhD students admitted in 2023-24-M Semester),MT,NA,DPGC_MT,NA
158,PH699,Thesis (For MSc),PH,NA,DPGC_PH,NA
159,PH795,PhD Candidacy,PH,NA,DPGC_PH,NA
160,PH799,Thesis (For PhD),PH,NA,DPGC_PH,NA
161,PHL507/PH506,Statistical Mechanics,PH,D,Dr. Sabyasachi Ghosh,L102
162,PHL508/PH512,Solid State Physics,PH,M,Dr. Sesha Vempati,L104
163,PHL509/PH509,Nuclear and Particle Physics,PH,A,Dr. Sudhanwa Patra,L203
164,PHL510/PH511,Atomic and Molecular Physics,PH,G,Dr. Mahavir Sharma,L204
165,PHL607/PH513,Experimental and Measurement techniques,PH,B,Dr. Dhruv Pratap Singh,ED1 203/204
166,PHP511,General Physics Laboratory,PH,"O, U",Dr. Sesha Vempati,NA
167,PHT895,PhD Candidacy,PH,NA,DPGC_PH,NA
168,PHT899,Thesis (For PhD students admitted in 2023-24-M Semester),PH,NA,DPGC_PH,NA
169,TPL637/PH517,Astrophysics and cosmology,PH,I,Dr. Mahavir Sharma,L101
170,TPL638/PH606,Particle Physics,PH,F,Dr. Sudhanwa Patra,L203
171,PHL610/PH610,Science and Technology in Thin Films,PH/MSME,H,Dr. Anjali Chaudhary,L103
172,PHL611/PH611,Applied optics,PH/MSME,C,Dr. Praveen Kumar,L206
